epoch,Train Loss,Train dice0,Val Loss,Val dice0,Test Loss,Test dice0
1,0.0867,0.9133,0.0805,0.9195,0.0819,0.9181
2,0.0805,0.9195,0.0772,0.9228,0.0816,0.9184
3,0.0767,0.9233,0.0737,0.9263,0.0819,0.9181
4,0.0746,0.9254,0.0718,0.9282,0.0809,0.9191
5,0.0718,0.9282,0.0712,0.9288,0.0827,0.9173
6,0.0705,0.9295,0.07,0.93,0.0818,0.9182
7,0.0696,0.9304,0.0696,0.9304,0.0849,0.9151
8,0.0688,0.9312,0.0698,0.9302,0.0869,0.9131
9,0.0669,0.9331,0.0672,0.9328,0.0836,0.9164
10,0.0666,0.9334,0.067,0.933,0.0853,0.9147
11,0.0657,0.9343,0.0655,0.9345,0.0853,0.9147
12,0.0654,0.9346,0.0652,0.9348,0.0868,0.9132
13,0.0638,0.9362,0.0636,0.9364,0.0867,0.9133
14,0.0636,0.9364,0.0649,0.9351,0.0875,0.9125
15,0.0628,0.9372,0.0632,0.9368,0.087,0.913
16,0.0625,0.9375,0.0636,0.9364,0.0893,0.9107
17,0.0618,0.9382,0.0635,0.9365,0.0887,0.9113
