epoch,Train Loss,Train dice0,Val Loss,Val dice0
1,0.994,0.006,0.9983,0.0017
2,0.9786,0.0214,0.992,0.008
3,0.9479,0.0521,0.9918,0.0082
4,0.8856,0.1144,0.9996,0.0004
5,0.8153,0.1847,0.9997,0.0003
6,0.7955,0.2045,0.9997,0.0003
7,0.7791,0.2209,0.9998,0.0002
8,0.7644,0.2356,0.9998,0.0002
9,0.7511,0.2489,0.9998,0.0002
10,0.7397,0.2603,0.9998,0.0002
11,0.736,0.264,0.9998,0.0002
12,0.7349,0.2651,0.9998,0.0002
13,0.7337,0.2663,0.9998,0.0002
14,0.7308,0.2692,0.9998,0.0002
15,0.7309,0.2691,0.9998,0.0002
16,0.7322,0.2678,0.9998,0.0002
17,0.7311,0.2689,0.9998,0.0002
18,0.7282,0.2718,0.9998,0.0002
19,0.7302,0.2698,0.9998,0.0002
20,0.7302,0.2698,0.9998,0.0002
21,0.7297,0.2703,0.9998,0.0002
22,0.7292,0.2708,0.9998,0.0002
23,0.7303,0.2697,0.9998,0.0002
24,0.7294,0.2706,0.9998,0.0002
25,0.729,0.271,0.9998,0.0002
26,0.7306,0.2694,0.9998,0.0002
27,0.7288,0.2712,0.9998,0.0002
28,0.7303,0.2697,0.9998,0.0002
29,0.7303,0.2697,0.9998,0.0002
30,0.7296,0.2704,0.9998,0.0002
31,0.7295,0.2705,0.9998,0.0002
32,0.7297,0.2703,0.9998,0.0002
33,0.7307,0.2693,0.9998,0.0002
34,0.7304,0.2696,0.9998,0.0002
35,0.7301,0.2699,0.9998,0.0002
36,0.7291,0.2709,0.9998,0.0002
37,0.7299,0.2701,0.9998,0.0002
38,0.7303,0.2697,0.9998,0.0002
39,0.7291,0.2709,0.9998,0.0002
40,0.7316,0.2684,0.9998,0.0002
41,0.7296,0.2704,0.9998,0.0002
42,0.73,0.27,0.9998,0.0002
43,0.7308,0.2692,0.9998,0.0002
44,0.7314,0.2686,0.9998,0.0002
45,0.7303,0.2697,0.9998,0.0002
46,0.7293,0.2707,0.9998,0.0002
47,0.7287,0.2713,0.9998,0.0002
48,0.7302,0.2698,0.9998,0.0002
49,0.7299,0.2701,0.9998,0.0002
50,0.7294,0.2706,0.9998,0.0002
