epoch,Train Loss,Train dice0,Train dice1,Val Loss,Val dice0,Val dice1,Test Loss,Test dice0,Test dice1
1,0.6812,0.3376,0.3065,0.4326,0.6358,0.5244,0.745,0.2232,0.2725
2,0.3848,0.7129,0.5532,0.3012,0.7974,0.6293,0.8109,0.2494,0.1369
3,0.2667,0.8232,0.6727,0.1955,0.8815,0.7505,0.8058,0.2865,0.1177
4,0.2192,0.8593,0.727,0.1878,0.8831,0.7638,0.8131,0.2777,0.1132
5,0.1918,0.882,0.7575,0.1713,0.8982,0.7811,0.8179,0.2785,0.1043
6,0.1876,0.8851,0.7624,0.1667,0.8979,0.7892,0.8154,0.2836,0.1056
7,0.1847,0.8869,0.766,0.1628,0.9034,0.7916,0.8182,0.2807,0.1021
8,0.1819,0.8889,0.7694,0.1599,0.9032,0.7969,0.8171,0.2792,0.1047
9,0.1791,0.8907,0.7729,0.16,0.9018,0.7981,0.8182,0.278,0.1034
10,0.1764,0.8925,0.7763,0.1588,0.9048,0.7979,0.8183,0.279,0.103
11,0.1754,0.8934,0.7772,0.158,0.9044,0.7991,0.8183,0.2783,0.1033
12,0.1755,0.8929,0.7774,0.1576,0.9066,0.7992,0.8183,0.2794,0.1029
13,0.1748,0.8939,0.778,0.16,0.904,0.7969,0.8186,0.2782,0.103
14,0.1746,0.8936,0.7785,0.1597,0.9016,0.7992,0.8186,0.2782,0.1034
15,0.1739,0.8945,0.779,0.1596,0.9033,0.7983,0.8185,0.2788,0.1028
16,0.1737,0.8948,0.7791,0.1591,0.9031,0.7985,0.8187,0.2783,0.1027
17,0.1741,0.8943,0.7788,0.1604,0.9033,0.7966,0.8185,0.2786,0.103
