epoch,Train Loss,Train dice0,score,Val Loss,Val dice0,Test Loss,Test dice0
1,6134.1091,0.9069,2925546.4682,0.0812,0.9188,0.1418,0.8582
2,5254.7095,0.9174,2925635.5212,0.0741,0.9259,0.1313,0.8687
3,4617.3098,0.9258,2925703.8965,0.0701,0.9299,0.1264,0.8736
4,4558.3551,0.9272,2925674.1101,0.0706,0.9294,0.1297,0.8703
5,3648.8713,0.9395,2925754.1061,0.0632,0.9368,0.1212,0.8788
6,3490.4131,0.9426,2925776.6015,0.0611,0.9389,0.1206,0.8794
7,3440.8155,0.9431,2925800.1798,0.0623,0.9377,0.1193,0.8807
8,3381.7695,0.944,2925791.696,0.062,0.938,0.1198,0.8802
9,3344.5067,0.9448,2925812.9005,0.0637,0.9363,0.1206,0.8794
10,3207.9894,0.9464,2925797.8561,0.0604,0.9396,0.1165,0.8835
11,3209.0355,0.9468,2925814.8879,0.061,0.939,0.1168,0.8832
12,3198.5048,0.947,2925833.7242,0.0624,0.9376,0.1179,0.8821
13,3184.5295,0.9471,2925793.1157,0.0618,0.9382,0.1168,0.8832
14,3179.5109,0.9471,2925832.0237,0.0624,0.9376,0.1162,0.8838
15,3165.4332,0.9474,2925830.5015,0.0616,0.9384,0.1164,0.8836
